"YEAR","SERIAL","MONTH","HWTFINL","CPSID","STATEFIP","PERNUM","WTFINL","CPSIDP","CPSIDV","RACE","HISPAN","VOTED","VOREG","VOYNOTREG","VOWHYNOT"
2006,7520,11,1293.3472,20050905194900,32,2,1293.3472,20050905194902,200509051949021,100,0,2,99,99,99
2006,7521,11,883.8044,20060804046400,32,1,883.8044,20060804046401,200608040464011,100,0,1,2,99,5
2006,7521,11,883.8044,20060804046400,32,2,824.5978,20060804046404,200608040464041,100,0,99,99,99,99
2006,7521,11,883.8044,20060804046400,32,3,1005.8782,20060804046403,200608040464031,100,0,99,99,99,99
2006,7521,11,883.8044,20060804046400,32,4,777.7625,20060804046402,200608040464021,100,0,99,99,99,99
2006,7522,11,817.3215,20060804052900,32,1,934.7913,20060804052901,200608040529011,100,0,2,99,99,99
2006,7522,11,817.3215,20060804052900,32,2,817.3215,20060804052902,200608040529021,100,0,2,99,99,99
2006,7522,11,817.3215,20060804052900,32,3,950.8208,20060804052904,200608040529041,100,0,99,99,99,99
2006,7522,11,817.3215,20060804052900,32,4,846.6409,20060804052903,200608040529031,100,0,99,99,99,99
2006,9745,11,1073.3384,20060804011200,32,1,1233.1856,20060804011201,200608040112011,100,100,1,1,7,99
2006,9745,11,1073.3384,20060804011200,32,2,1073.3384,20060804011202,200608040112021,100,100,1,2,99,11
2006,9745,11,1073.3384,20060804011200,32,3,990.9352,20060804011203,200608040112031,100,100,99,99,99,99
2006,9745,11,1073.3384,20060804011200,32,4,1014.8852,20060804011204,200608040112041,100,100,99,99,99,99
2006,9745,11,1073.3384,20060804011200,32,5,1005.7091,20060804011205,200608040112051,100,100,99,99,99,99
2006,9745,11,1073.3384,20060804011200,32,6,1006.4173,20060804011206,200608040112061,100,100,99,99,99,99
2006,9745,11,1073.3384,20060804011200,32,7,1381.9917,20060804011207,200608040112071,100,100,99,99,99,99
2006,9745,11,1073.3384,20060804011200,32,8,1080.2848,20060804011208,200608040112081,100,100,2,99,99,99
2006,9746,11,936.0907,20060804001700,32,1,1049.4699,20060804001701,200608040017011,100,0,2,99,99,99
2006,9746,11,936.0907,20060804001700,32,2,936.0907,20060804001702,200608040017021,100,0,2,99,99,99
2006,9746,11,936.0907,20060804001700,32,3,951.6226,20060804001704,200608040017041,100,0,2,99,99,99
2006,9747,11,1142.1632,20060900556500,32,1,1279.3157,20060900556501,200609005565011,100,100,2,99,99,99
2006,9747,11,1142.1632,20060900556500,32,2,1142.1632,20060900556502,200609005565021,100,100,1,2,99,5
2006,9747,11,1142.1632,20060900556500,32,3,1082.216,20060900556503,200609005565031,100,100,99,99,99,99
2006,9747,11,1142.1632,20060900556500,32,4,982.4017,20060900556504,200609005565041,100,100,99,99,99,99
2006,9747,11,1142.1632,20060900556500,32,5,1386.9447,20060900556505,200609005565051,100,100,99,99,99,99
